id,vid,token,vtoken,lctoken,freq,loglik,logfreq,llrank,freqrank,idbrac10,idbrac50,idbrac100,vidbrac10,vidbrac50,vidbrac100,freqbrac10,freqbrac50,freqbrac100,llbrac10,llbrac50,llbrac100
0,0,Project,Project,project,1,-8.74,0.0,136,0,0,0,0,0,0,0,0,0,0,9,45,90
0,"", ,"","",0,"",-Infinity,"","",0,0,0,0,0,0,0,0,0,0,0,0
1,1,Gutenberg,Gutenberg,gutenberg,1,-12.24,0.0,9,1,0,0,0,0,0,0,0,0,0,0,3,6
1,"",',"","",0,"",-Infinity,"","",0,0,0,0,0,0,0,0,0,0,0,0
2,2,s,s,s,3,-41.46,1.0986122886681098,83,130,0,0,0,0,0,0,8,43,86,5,27,55
2,"", ,"","",0,"",-Infinity,"","",0,0,0,0,0,0,0,0,0,0,0,0
3,3,Alice,Alice,alice,6,-73.34,1.791759469228055,91,143,0,0,1,0,0,1,9,47,95,6,30,60
3,"",',"","",0,"",-Infinity,"","",0,0,1,0,0,0,0,0,0,0,0,0
4,4,s,s,s,3,-41.46,1.0986122886681098,83,130,0,0,1,0,0,1,8,43,86,5,27,55
4,"", ,"","",0,"",-Infinity,"","",0,0,1,0,0,0,0,0,0,0,0,0
5,5,Adventures,Adventures,adventures,2,-20.48,0.6931471805599453,62,119,0,0,1,0,0,1,7,39,79,4,20,41
5,"", ,"","",0,"",-Infinity,"","",0,0,1,0,0,0,0,0,0,0,0,0
6,6,in,in,in,6,-86.29,1.791759469228055,142,144,0,1,2,0,1,2,9,48,96,9,47,94
6,"", ,"","",0,"",-Infinity,"","",0,1,2,0,0,0,0,0,0,0,0,0
7,7,Wonderland,Wonderland,wonderland,2,-22.67,0.6931471805599453,67,107,0,1,2,0,1,2,7,35,71,4,22,44
7,"",", ","","",0,"",-Infinity,"","",0,1,2,0,0,0,0,0,0,0,0,0
8,8,by,by,by,3,-49.98,1.0986122886681098,87,133,0,1,2,0,1,2,8,44,88,5,29,58
8,"", ,"","",0,"",-Infinity,"","",0,1,2,0,0,0,0,0,0,0,0,0
9,9,Lewis,Lewis,lewis,2,-20.06,0.6931471805599453,61,108,0,1,3,0,1,3,7,36,72,4,20,40
9,"", ,"","",0,"",-Infinity,"","",0,1,3,0,0,0,0,0,0,0,0,0
10,10,Carroll,Carroll,carroll,2,-22.37,0.6931471805599453,66,113,0,1,3,0,1,3,7,37,75,4,22,44
10,"","

","","",0,"",-Infinity,"","",0,1,3,0,0,0,0,0,0,0,0,0
11,11,ALICE,ALICE,alice,6,-73.34,1.791759469228055,91,143,0,1,3,0,1,3,9,47,95,6,30,60
11,"",',"","",0,"",-Infinity,"","",0,1,3,0,0,0,0,0,0,0,0,0
12,12,S,S,s,3,-41.46,1.0986122886681098,83,130,0,2,4,0,2,4,8,43,86,5,27,55
12,"", ,"","",0,"",-Infinity,"","",0,2,4,0,0,0,0,0,0,0,0,0
13,13,ADVENTURES,ADVENTURES,adventures,2,-20.48,0.6931471805599453,62,119,0,2,4,0,2,4,7,39,79,4,20,41
13,"", ,"","",0,"",-Infinity,"","",0,2,4,0,0,0,0,0,0,0,0,0
14,14,IN,IN,in,6,-86.29,1.791759469228055,142,144,0,2,4,0,2,4,9,48,96,9,47,94
14,"", ,"","",0,"",-Infinity,"","",0,2,4,0,0,0,0,0,0,0,0,0
15,15,WONDERLAND,WONDERLAND,wonderland,2,-22.67,0.6931471805599453,67,107,0,2,5,0,2,5,7,35,71,4,22,44
15,"","

","","",0,"",-Infinity,"","",0,2,5,0,0,0,0,0,0,0,0,0
16,16,Lewis,Lewis,lewis,2,-20.06,0.6931471805599453,61,108,0,2,5,0,2,5,7,36,72,4,20,40
16,"", ,"","",0,"",-Infinity,"","",0,2,5,0,0,0,0,0,0,0,0,0
17,17,Carroll,Carroll,carroll,2,-22.37,0.6931471805599453,66,113,0,2,5,0,2,5,7,37,75,4,22,44
17,"","

","","",0,"",-Infinity,"","",0,2,5,0,0,0,0,0,0,0,0,0
18,18,THE,THE,the,15,-264.07,2.70805020110221,70,103,0,3,6,0,3,6,6,34,68,4,23,46
18,"", ,"","",0,"",-Infinity,"","",0,3,6,0,0,0,0,0,0,0,0,0
19,19,MILLENNIUM,MILLENNIUM,millennium,1,-9.55,0.0,148,11,0,3,6,0,3,6,0,3,7,9,49,98
19,"", ,"","",0,"",-Infinity,"","",0,3,6,0,0,0,0,0,0,0,0,0
20,20,FULCRUM,FULCRUM,fulcrum,1,-14.44,0.0,26,12,0,3,6,0,3,6,0,4,8,1,8,17
20,"", ,"","",0,"",-Infinity,"","",0,3,6,0,0,0,0,0,0,0,0,0
21,21,EDITION,EDITION,edition,1,-17.08,0.0,52,13,0,3,7,0,3,7,0,4,8,3,17,34
21,"", ,"","",0,"",-Infinity,"","",0,3,7,0,0,0,0,0,0,0,0,0
22,22,3,3,3,1,-8.74,0.0,135,14,0,3,7,0,3,7,0,4,9,9,45,90
22,"",.,"","",0,"",-Infinity,"","",0,3,7,0,0,0,0,0,0,0,0,0
23,23,0,0,0,1,-8.89,0.0,141,15,0,4,8,0,4,8,1,5,10,9,47,94
23,"","




","","",0,"",-Infinity,"","",0,4,8,0,0,0,0,0,0,0,0,0
24,24,CHAPTER,CHAPTER,chapter,1,-16.03,0.0,35,16,0,4,8,0,4,8,1,5,10,2,11,23
24,"", ,"","",0,"",-Infinity,"","",0,4,8,0,0,0,0,0,0,0,0,0
25,25,I,I,i,2,-28.88,0.6931471805599453,73,116,0,4,8,0,4,8,7,38,77,4,24,48
25,"",. ,"","",0,"",-Infinity,"","",0,4,8,0,0,0,0,0,0,0,0,0
26,26,Down,Down,down,2,-23.34,0.6931471805599453,68,120,0,4,9,0,4,9,8,40,80,4,22,45
26,"", ,"","",0,"",-Infinity,"","",0,4,9,0,0,0,0,0,0,0,0,0
27,27,the,the,the,15,-264.07,2.70805020110221,70,103,0,4,9,0,4,9,6,34,68,4,23,46
27,"", ,"","",0,"",-Infinity,"","",0,4,9,0,0,0,0,0,0,0,0,0
28,28,Rabbit,Rabbit,rabbit,6,-110.09,1.791759469228055,7,142,0,4,9,0,4,9,9,47,94,0,2,4
28,"",-,"","",0,"",-Infinity,"","",0,4,9,0,0,0,0,0,0,0,0,0
29,29,Hole,Hole,hole,2,-27.64,0.6931471805599453,71,122,1,5,10,1,5,10,8,40,81,4,23,47
29,"","

","","",0,"",-Infinity,"","",1,5,10,0,0,0,0,0,0,0,0,0
30,30,Alice,Alice,alice,6,-73.34,1.791759469228055,91,143,1,5,10,1,5,10,9,47,95,6,30,60
30,"", ,"","",0,"",-Infinity,"","",1,5,10,0,0,0,0,0,0,0,0,0
31,31,was,was,was,5,-77.34,1.6094379124341003,94,141,1,5,10,1,5,10,9,47,94,6,31,62
31,"", ,"","",0,"",-Infinity,"","",1,5,10,0,0,0,0,0,0,0,0,0
32,32,beginning,beginning,beginning,1,-8.64,0.0,99,22,1,5,11,1,5,11,1,7,14,6,33,66
32,"", ,"","",0,"",-Infinity,"","",1,5,11,0,0,0,0,0,0,0,0,0
33,33,to,to,to,9,-158.44,2.1972245773362196,32,150,1,5,11,1,5,11,10,50,100,2,10,21
33,"", ,"","",0,"",-Infinity,"","",1,5,11,0,0,0,0,0,0,0,0,0
34,34,get,get,get,1,-8.64,0.0,96,24,1,5,11,1,5,11,1,8,16,6,32,64
34,"", ,"","",0,"",-Infinity,"","",1,5,11,0,0,0,0,0,0,0,0,0
35,35,very,very,very,4,-74.39,1.3862943611198906,93,140,1,6,12,1,6,12,9,46,93,6,31,62
